molecule_id,molecular_weight,logP,num_hydrogen_bond_donors,num_hydrogen_bond_acceptors,topological_polar_surface_area,rotatable_bonds,aromatic_rings,bioactivity_score,toxicity_risk_level,drug_likeness,binding_affinity_kcal_mol,clinical_trial_phase_prediction
1,387.25,2.72,3,11,88.96,2,2,0.715,Low,No,-9.38,Preclinical
2,339.63,5.73,1,9,117.17,14,1,0.426,Low,No,-5.91,Phase II
3,398.58,2.92,0,9,160.37,7,3,0.303,Low,Yes,-6.3,Preclinical
4,464.23,1.3,1,8,48.0,3,2,0.784,Low,Yes,-8.39,Phase III
5,332.44,2.39,1,10,86.89,1,2,0.494,Medium,Yes,-11.51,Preclinical
6,332.44,0.37,4,11,54.59,10,0,0.452,Medium,Yes,-5.85,Phase III
7,468.44,2.4,3,3,137.76,4,4,0.648,Low,No,-10.56,Phase II
8,407.56,1.5,5,2,72.37,0,2,-0.034,Low,Yes,-4.24,Phase II
9,314.79,3.6,4,5,46.7,12,2,0.619,High,Yes,-9.67,Phase III
10,390.69,1.84,2,1,109.15,7,5,0.603,Low,No,-7.48,Preclinical
11,315.24,2.36,1,3,142.33,13,3,0.155,Low,Yes,-7.15,Preclinical
12,315.07,1.74,2,1,109.91,7,2,0.015,Medium,Yes,-6.95,Preclinical
13,368.15,4.59,4,3,96.14,2,3,0.359,Low,No,-7.01,Preclinical
14,206.5,2.11,3,4,102.27,0,4,0.546,High,No,-7.3,Preclinical
15,220.63,4.7,4,7,132.45,3,5,0.571,Medium,No,-8.15,Phase I
16,307.83,3.48,3,5,63.77,8,0,0.926,Low,Yes,-7.84,Preclinical
17,274.04,3.08,3,5,86.64,8,0,0.546,Low,Yes,-8.48,Preclinical
18,373.57,2.94,0,1,76.42,14,4,0.15,Medium,Yes,-7.33,Preclinical
19,281.9,2.97,1,8,54.96,0,4,0.437,Low,No,-10.13,Phase I
20,244.08,0.19,4,4,80.15,10,5,0.175,High,Yes,-7.03,Phase III
21,459.92,2.17,3,10,123.23,14,5,0.455,Medium,No,-7.65,Phase I
22,333.07,3.51,4,5,107.0,6,1,0.852,Low,Yes,-6.24,Phase I
23,355.06,2.44,4,2,109.33,5,2,0.615,Medium,Yes,-7.96,Preclinical
24,243.14,0.81,3,1,94.39,13,2,0.32,Low,No,-6.6,Phase II
25,309.17,2.44,5,9,105.7,6,2,0.648,Low,No,-6.67,Preclinical
26,358.32,4.54,2,2,65.98,6,3,0.306,Medium,Yes,-7.71,Phase III
27,263.68,4.0,1,6,80.71,7,1,-0.191,Medium,No,-6.97,Phase I
28,378.18,2.43,1,1,95.76,7,2,0.192,Medium,No,-9.51,Preclinical
29,304.95,3.64,5,1,98.33,9,3,0.615,Low,No,-5.49,Phase III
30,328.12,2.06,0,9,99.61,13,3,0.693,Medium,No,-8.32,Phase III
